"filename", "language", "PHP", "Markdown", "JSON", "XML", "JavaScript", "CSS", "SCSS", "Less", "Ruby", "comment", "blank", "total"
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.semanticui.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\jquery.dataTables.css", "CSS", 0, 0, 0, 0, 0, 563, 0, 0, 0, 12, 10, 585
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\jquery.dataTables.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.bootstrap.js", "JavaScript", 0, 0, 0, 0, 145, 0, 0, 0, 0, 25, 31, 201
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.bootstrap.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.bootstrap4.js", "JavaScript", 0, 0, 0, 0, 147, 0, 0, 0, 0, 25, 31, 203
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.bootstrap4.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.bootstrap5.js", "JavaScript", 0, 0, 0, 0, 155, 0, 0, 0, 0, 25, 33, 213
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.bootstrap5.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.bulma.js", "JavaScript", 0, 0, 0, 0, 159, 0, 0, 0, 0, 22, 34, 215
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.bulma.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.dataTables.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 8, 10, 56
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.dataTables.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.foundation.js", "JavaScript", 0, 0, 0, 0, 151, 0, 0, 0, 0, 19, 31, 201
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.foundation.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\js\dataTables.jqueryui.js", "JavaScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 21, 18, 96
